itemCode,name,imis_code,uom,quantity,boq_number,belongsto,partNumber,category,location,lastUpdated,,,,,,,,,,,,,,,
Ledger,HVAC Cooling Tower Routing Inspection Book AC Season,,"No,s",0,,O&M,,HVAC," C&C Warehouse, Depot ",,,,,,,,,,,,,,,,
Ledger,HVAC Pump Routing Inspection Book,,"No,s",0,,O&M,,HVAC," C&C Warehouse, Depot ",,,,,,,,,,,,,,,,
Ledger,Filter Cleaning Log,,"No,s",0,,O&M,,HVAC," C&C Warehouse, Depot ",,,,,,,,,,,,,,,,
,Nitrogen Gas Cylinder Refilling,003-0070-00-070006,"Kg,s",0,,O&M,,HVAC," C&C Warehouse, Depot ",,,,,,,,,,,,,,,,
VA-7010-8003,Motorized Valve,,"No,s",14,,O&M,,HVAC," C&C Warehouse, Depot ",,,,,,,,,,,,,,,,
1.5mm / S-C,Cable 1.5 mm / Single Core 450/750-Volt (Red),003-0010-07-010006,MTR,805,,O&M,,ILLUMINATION," C&C Warehouse, Depot ",,,,,,,,,,,,,,,,
10 mm / S-C,Cable 10 mm / Single Core 450/750-V (Red),003-0010-07-010002,MTR,1000,,O&M,,ILLUMINATION," C&C Warehouse, Depot ",,,,,,,,,,,,,,,,
2.5 mm / S-C,Cable 2.5 mm / Single Core 450/750-V (Green),003-0010-07-010005,MTR,1000,,O&M,,ILLUMINATION," C&C Warehouse, Depot ",,,,,,,,,,,,,,,,
4 mm / S-C,Cable 4.0 mm / Single Core (Yellow),003-0010-07-010004,MTR,1000,,O&M,,ILLUMINATION," C&C Warehouse, Depot ",,,,,,,,,,,,,,,,
6 mm + 4 mm,Mix Size Cable 6 mm / 3-Core + Cable 4 mm / 2-C,003-0010-07-010001,MTR,500,,O&M,,ILLUMINATION," C&C Warehouse, Depot ",,,,,,,,,,,,,,,,
Yellow,Electrical Insulation Tape 10M,003-0009-08-009003,No.s,0,,O&M,,ILLUMINATION," C&C Warehouse, Depot ",,,,,,,,,,,,,,,,
